x_nm,y_nm,phi_V
1.406250,26.250000,4.16221433e-01
1.406250,26.718750,4.29517783e-01
1.406250,27.187500,4.40138511e-01
1.406250,27.656250,4.45309611e-01
1.406250,28.125000,4.45342315e-01
1.406250,28.593750,4.40654113e-01
1.406250,29.062500,4.33382946e-01
1.406250,29.531250,4.24308158e-01
1.406250,30.000000,4.20291742e-01
1.875000,0.000000,4.38137582e-01
1.875000,0.468750,4.43295504e-01
1.875000,0.937500,4.45875534e-01
1.875000,1.406250,4.48279906e-01
1.875000,1.875000,4.48479003e-01
1.875000,2.343750,4.48402686e-01
1.875000,2.812500,4.48354432e-01
1.875000,3.281250,4.47313082e-01
1.875000,3.750000,4.34520825e-01
1.875000,4.218750,4.17688692e-01
1.875000,4.687500,4.08343714e-01
1.875000,5.156250,4.04033525e-01
1.875000,5.625000,4.02919968e-01
1.875000,6.093750,4.03632028e-01
1.875000,6.562500,4.05303564e-01
1.875000,7.031250,4.07392151e-01
1.875000,7.500000,4.09586246e-01
1.875000,7.968750,4.11715224e-01
1.875000,8.437500,4.13691858e-01
1.875000,8.906250,4.15477079e-01
1.875000,9.375000,4.17059019e-01
1.875000,9.843750,4.18440731e-01
1.875000,10.312500,4.19633068e-01
1.875000,10.781250,4.20650564e-01
1.875000,11.250000,4.21509060e-01
1.875000,11.718750,4.22224338e-01
1.875000,12.187500,4.22811319e-01
1.875000,12.656250,4.23283571e-01
1.875000,13.125000,4.23653000e-01
1.875000,13.593750,4.23929624e-01
1.875000,14.062500,4.24121409e-01
1.875000,14.531250,4.24234138e-01
1.875000,15.000000,4.24271323e-01
1.875000,15.468750,4.24234138e-01
1.875000,15.937500,4.24121409e-01
1.875000,16.406250,4.23929624e-01
1.875000,16.875000,4.23653000e-01
1.875000,17.343750,4.23283571e-01
1.875000,17.812500,4.22811319e-01
1.875000,18.281250,4.22224338e-01
1.875000,18.750000,4.21509060e-01
1.875000,19.218750,4.20650564e-01
1.875000,19.687500,4.19633068e-01
1.875000,20.156250,4.18440731e-01
1.875000,20.625000,4.17059019e-01
1.875000,21.093750,4.15477079e-01
1.875000,21.562500,4.13691858e-01
1.875000,22.031250,4.11715224e-01
1.875000,22.500000,4.09586246e-01
1.875000,22.968750,4.07392151e-01
1.875000,23.437500,4.05303564e-01
1.875000,23.906250,4.03632028e-01
1.875000,24.375000,4.02919968e-01
1.875000,24.843750,4.04033525e-01
1.875000,25.312500,4.08343714e-01
1.875000,25.781250,4.17688692e-01
1.875000,26.250000,4.34520825e-01
1.875000,26.718750,4.47313082e-01
1.875000,27.187500,4.48354432e-01
1.875000,27.656250,4.48402686e-01
1.875000,28.125000,4.48479003e-01
1.875000,28.593750,4.48279906e-01
1.875000,29.062500,4.45875534e-01
1.875000,29.531250,4.43295504e-01
1.875000,30.000000,4.38137582e-01
2.343750,0.000000,4.50742189e-01
2.343750,0.468750,4.50357463e-01
2.343750,0.937500,4.50297182e-01
2.343750,1.406250,4.50221234e-01
2.343750,1.875000,4.50702320e-01
2.343750,2.343750,4.50659055e-01
2.343750,2.812500,4.50021831e-01
2.343750,3.281250,4.49434705e-01
2.343750,3.750000,4.48617420e-01
2.343750,4.218750,4.32164771e-01
2.343750,4.687500,4.14893683e-01
2.343750,5.156250,4.07131949e-01
2.343750,5.625000,4.04248561e-01
2.343750,6.093750,4.04192703e-01
2.343750,6.562500,4.05531661e-01
2.343750,7.031250,4.07477124e-01
2.343750,7.500000,4.09606205e-01
2.343750,7.968750,4.11699182e-01
2.343750,8.437500,4.13648097e-01
2.343750,8.906250,4.15405821e-01
2.343750,9.375000,4.16957964e-01
2.343750,9.843750,4.18307366e-01
2.343750,10.312500,4.19465555e-01
2.343750,10.781250,4.20448032e-01
2.343750,11.250000,4.21271665e-01
2.343750,11.718750,4.21953241e-01
2.343750,12.187500,4.22508644e-01
2.343750,12.656250,4.22952351e-01
2.343750,13.125000,4.23297107e-01
2.343750,13.593750,4.23553678e-01
2.343750,14.062500,4.23730657e-01
2.343750,14.531250,4.23834304e-01
2.343750,15.000000,4.23868428e-01
2.343750,15.468750,4.23834304e-01
2.343750,15.937500,4.23730657e-01
2.343750,16.406250,4.23553678e-01
2.343750,16.875000,4.23297107e-01
2.343750,17.343750,4.22952351e-01
2.343750,17.812500,4.22508644e-01
2.343750,18.281250,4.21953241e-01
2.343750,18.750000,4.21271665e-01
2.343750,19.218750,4.20448032e-01
2.343750,19.687500,4.19465555e-01
2.343750,20.156250,4.18307366e-01
2.343750,20.625000,4.16957964e-01
2.343750,21.093750,4.15405821e-01
2.343750,21.562500,4.13648097e-01
2.343750,22.031250,4.11699182e-01
2.343750,22.500000,4.09606205e-01
2.343750,22.968750,4.07477124e-01
2.343750,23.437500,4.05531661e-01
2.343750,23.906250,4.04192703e-01
2.343750,24.375000,4.04248561e-01
2.343750,24.843750,4.07131949e-01
2.343750,25.312500,4.14893683e-01
2.343750,25.781250,4.32164771e-01
2.343750,26.250000,4.48617420e-01
2.343750,26.718750,4.49434705e-01
2.343750,27.187500,4.50021831e-01
2.343750,27.656250,4.50659055e-01
2.343750,28.125000,4.50702320e-01
2.343750,28.593750,4.50221234e-01
2.343750,29.062500,4.50297182e-01
2.343750,29.531250,4.50357463e-01
2.343750,30.000000,4.50742189e-01
2.812500,0.000000,4.55833619e-01
2.812500,0.468750,4.53327577e-01
2.812500,0.937500,4.52293213e-01
2.812500,1.406250,4.51163559e-01
2.812500,1.875000,4.51220215e-01
2.812500,2.343750,4.51282818e-01
2.812500,2.812500,4.51028186e-01
2.812500,3.281250,4.51056982e-01
2.812500,3.750000,4.50643350e-01
2.812500,4.218750,4.43974528e-01
2.812500,4.687500,4.23209276e-01
2.812500,5.156250,4.10482058e-01
2.812500,5.625000,4.05650853e-01
2.812500,6.093750,4.04799866e-01
2.812500,6.562500,4.05803445e-01
2.812500,7.031250,4.07602589e-01
2.812500,7.500000,4.09659049e-01
2.812500,7.968750,4.11705613e-01
2.812500,8.437500,4.13615089e-01
2.812500,8.906250,4.15333212e-01
2.812500,9.375000,4.16843512e-01
2.812500,9.843750,4.18148813e-01
2.812500,10.312500,4.19261404e-01
