x_nm,y_nm,phi_V
17.500000,26.250000,2.11005846e-01
17.500000,27.500000,2.11406828e-01
17.500000,28.750000,2.11757056e-01
17.500000,30.000000,2.11882869e-01
18.750000,0.000000,2.10823246e-01
18.750000,1.250000,2.10765676e-01
18.750000,2.500000,2.10623730e-01
18.750000,3.750000,2.10465395e-01
18.750000,5.000000,2.10394978e-01
18.750000,6.250000,2.10553728e-01
18.750000,7.500000,2.11189964e-01
18.750000,8.750000,2.12862686e-01
18.750000,10.000000,2.17136710e-01
18.750000,11.250000,2.28636793e-01
18.750000,12.500000,2.70154264e-01
18.750000,13.750000,3.50586391e-01
18.750000,15.000000,3.68559638e-01
18.750000,16.250000,3.50586391e-01
18.750000,17.500000,2.70154264e-01
18.750000,18.750000,2.28636793e-01
18.750000,20.000000,2.17136710e-01
18.750000,21.250000,2.12862686e-01
18.750000,22.500000,2.11189964e-01
18.750000,23.750000,2.10553728e-01
18.750000,25.000000,2.10394978e-01
18.750000,26.250000,2.10465395e-01
18.750000,27.500000,2.10623730e-01
18.750000,28.750000,2.10765676e-01
18.750000,30.000000,2.10823246e-01
20.000000,0.000000,2.10717077e-01
20.000000,1.250000,2.10664534e-01
20.000000,2.500000,2.10536045e-01
20.000000,3.750000,2.10395897e-01
20.000000,5.000000,2.10344304e-01
20.000000,6.250000,2.10519884e-01
20.000000,7.500000,2.11169914e-01
20.000000,8.750000,2.12853395e-01
20.000000,10.000000,2.17135356e-01
20.000000,11.250000,2.28640718e-01
20.000000,12.500000,2.70163045e-01
20.000000,13.750000,3.50600656e-01
20.000000,15.000000,3.68573457e-01
20.000000,16.250000,3.50600656e-01
20.000000,17.500000,2.70163045e-01
20.000000,18.750000,2.28640718e-01
20.000000,20.000000,2.17135356e-01
20.000000,21.250000,2.12853395e-01
20.000000,22.500000,2.11169914e-01
20.000000,23.750000,2.10519884e-01
20.000000,25.000000,2.10344304e-01
20.000000,26.250000,2.10395897e-01
20.000000,27.500000,2.10536045e-01
20.000000,28.750000,2.10664534e-01
20.000000,30.000000,2.10717077e-01
21.250000,0.000000,2.11552817e-01
21.250000,1.250000,2.11444440e-01
21.250000,2.500000,2.11140690e-01
21.250000,3.750000,2.10799872e-01
21.250000,5.000000,2.10565609e-01
21.250000,6.250000,2.10594210e-01
21.250000,7.500000,2.11094475e-01
21.250000,8.750000,2.12515854e-01
21.250000,10.000000,2.16052851e-01
21.250000,11.250000,2.25080104e-01
21.250000,12.500000,2.55517994e-01
21.250000,13.750000,3.17157015e-01
21.250000,15.000000,3.36981249e-01
21.250000,16.250000,3.17157015e-01
21.250000,17.500000,2.55517994e-01
21.250000,18.750000,2.25080104e-01
21.250000,20.000000,2.16052851e-01
21.250000,21.250000,2.12515854e-01
21.250000,22.500000,2.11094475e-01
21.250000,23.750000,2.10594210e-01
21.250000,25.000000,2.10565609e-01
21.250000,26.250000,2.10799872e-01
21.250000,27.500000,2.11140690e-01
21.250000,28.750000,2.11444440e-01
21.250000,30.000000,2.11552817e-01
22.500000,0.000000,2.14257716e-01
22.500000,1.250000,2.13826604e-01
22.500000,2.500000,2.12958647e-01
22.500000,3.750000,2.11923356e-01
22.500000,5.000000,2.11155277e-01
22.500000,6.250000,2.10819981e-01
22.500000,7.500000,2.11015659e-01
22.500000,8.750000,2.11985033e-01
22.500000,10.000000,2.14387534e-01
22.500000,11.250000,2.20081698e-01
22.500000,12.500000,2.32971180e-01
22.500000,13.750000,2.52374497e-01
22.500000,15.000000,2.59326508e-01
22.500000,16.250000,2.52374497e-01
22.500000,17.500000,2.32971180e-01
22.500000,18.750000,2.20081698e-01
22.500000,20.000000,2.14387534e-01
22.500000,21.250000,2.11985033e-01
22.500000,22.500000,2.11015659e-01
22.500000,23.750000,2.10819981e-01
22.500000,25.000000,2.11155277e-01
22.500000,26.250000,2.11923356e-01
22.500000,27.500000,2.12958647e-01
22.500000,28.750000,2.13826604e-01
22.500000,30.000000,2.14257716e-01
23.750000,0.000000,2.21956169e-01
23.750000,1.250000,2.20978154e-01
23.750000,2.500000,2.17411340e-01
23.750000,3.750000,2.14275760e-01
23.750000,5.000000,2.12258219e-01
23.750000,6.250000,2.11247969e-01
23.750000,7.500000,2.11000365e-01
23.750000,8.750000,2.11447577e-01
23.750000,10.000000,2.12787224e-01
23.750000,11.250000,2.15470293e-01
23.750000,12.500000,2.19538126e-01
23.750000,13.750000,2.23261603e-01
23.750000,15.000000,2.25099338e-01
23.750000,16.250000,2.23261603e-01
23.750000,17.500000,2.19538126e-01
23.750000,18.750000,2.15470293e-01
23.750000,20.000000,2.12787224e-01
23.750000,21.250000,2.11447577e-01
23.750000,22.500000,2.11000365e-01
23.750000,23.750000,2.11247969e-01
23.750000,25.000000,2.12258219e-01
23.750000,26.250000,2.14275760e-01
23.750000,27.500000,2.17411340e-01
23.750000,28.750000,2.20978154e-01
23.750000,30.000000,2.21956169e-01
25.000000,0.000000,2.49461403e-01
25.000000,1.250000,2.38347838e-01
25.000000,2.500000,2.26853048e-01
